,title,price,location,sales
267,OPPO K5 oppok5,1799.0,山东 济南,800人收货
268,Meizu,1199.0,广东 珠海,798人收货
269,苹果 iPhone XS Max ,3668.0,广东 深圳,792人收货
270,vivo iQOO Neo,2198.0,江苏 南京,790人收货
271,纽曼 P20,899.0,广东 深圳,788人收货
272,华为,1228.0,广东 深圳,785人收货
273,天语 Q3 ,138.0,江苏 南京,784人收货
275,Huawei,2499.0,山东 济南,782人收货
277,vivo Z5,1398.0,山东 济南,780人收货
278,Xiaomi,2399.0,上海,776人收货
279,OPPO K3 oppok3,1399.0,上海,771人收货
280,Xiaomi,659.0,山东 济南,765人收货
281,Meizu,898.0,广东 珠海,752人收货
282,vivo iQOO Neo ,2098.0,广东 东莞,750人收货
285,华为,898.0,广东 深圳,749人收货
286,vivo Z5X ,1298.0,上海,745人收货
287,朵唯W88 ,78.0,广东 深圳,745人收货
288,Huawei,3999.0,广东 深圳,737人收货
289,Meizu,1098.0,广东 珠海,736人收货
290,vivo Z5,1398.0,广东 东莞,734人收货
291,天语 T2,79.0,江苏 南京,733人收货
294,vivo iQOO Pro 5G,3198.0,广东 东莞,729人收货
295,华为HONOR ,699.0,广东 深圳,722人收货
296,Huawei,3388.0,广东 深圳,722人收货
297,华为honor,868.0,广东 深圳,721人收货
298,vivo Z1i,1099.0,广东 东莞,719人收货
299,YEPEN,118.0,广东 深圳,718人收货
301,华为,799.0,广东 深圳,712人收货
302,天语X27,399.0,广东 深圳,711人收货
303,华为mate30Pro,3288.0,北京,707人收货
304,Xiaomi,799.0,广东 深圳,703人收货
305,朵唯,299.0,广东 深圳,702人收货
306,vivo NEX 3 5G,5698.0,广东 东莞,700人收货
307,苹果 iPhone 8 Plus 64G ,4388.0,江苏 南京,698人收货
308,Xiaomi,1448.0,广东 深圳,696人收货
309,OPPO Reno opporeno,2499.0,广东 东莞,695人收货
310,华为honor,858.0,广东 深圳,692人收货
311,纽曼P20,899.0,广东 深圳,684人收货
312,Xiaomi,918.0,广东 深圳,684人收货
313,苹果 iPhone XR,3500.0,广东 深圳,680人收货
314,华为,958.0,广东 深圳,676人收货
315,华为HONOR,3299.0,江苏 南京,673人收货
316,飞利浦 E108 ,79.0,上海,672人收货
317,OPPO Reno Ace opporenoace,2999.0,山东 济南,672人收货
318,华为honor,3028.0,广东 深圳,670人收货
319,Huawei,3388.0,广东 深圳,669人收货
320,纽曼L520,148.0,广东 深圳,669人收货
321,OPPO K5 oppok5,1799.0,上海,667人收货
322,苹果 iPhone XR,3450.0,上海,663人收货
323,华为HONOR,868.0,山东 济南,662人收货
324,小米,398.0,广东 深圳,661人收货
325,Xiaomi,469.0,上海,660人收货
327,OPPO Reno opporeno,1999.0,上海,656人收货
328,小米CC9,1999.0,北京,655人收货
329,索爱 ,89.0,广东 深圳,655人收货
330,小辣椒 R17,389.0,广东 深圳,654人收货
